3.48 2.64
3.62 2.4
5.69 1.95
-6.56 -1.33
9.35 9.7
13.3 9.74
5.82 12.5
3.21 2.94
3.69 2.18
3.18 3.37
3.3 3.36
2.31 0.29
55.3 55.3
4.98 4.13
13.5 14.3
9.46 4.71
2.43 2.93
10.7 7.73
4.54 3.43
2.14 -3.4
-75.2 42.9
0.82 3.31
3.33 3.23
8.66 4.11
28.2 28.2
53.8 7.09
5.1 5.39
3.6 0.211
2.38 3.59
-30.3 -2.46
-43.9 38.8
6.1 3.39
2.96 9.7
-0.923 -6.62
3.45 3.93
7.09 53.8
1.97 4.38
5.15 5.04
3.44 2.53
-28.7 54.6
-2.54 4.94
12.9 45.1
8.67 5.06
-1.19 -0.127
3.01 9.47
1.94 2.65
3.77 6.02
5.86 1.58
4.51 5.25
-1.82 0.859
2.25 5.46
-29.9 53.8
3.53 7.97
6.14 3.8
5.49 3.12
-0.374 3.83
11.1 11.9
4.59 3.64
3.34 3.8
3.42 4.1
-3.73 1.49
4.45 3.56
2.28 2.17
1.02 -7.51
2 3.9
5.76 4
6.81 0.851
3.86 5.49
2.05 8.9
54.6 -28.7
7.2 2.64
2.87 2.56
4.95 3
0.273 1.93
32.7 -18.4
4.17 3.11
4.18 3.13
1.27 4.54
1.2 7.56
-2.46 -30.3
5.99 0.0171
53.8 -29.9
2.05 4.62
3.82 2.46
7.42 5.66
-1.91 12
3.83 2.4
4.29 3.63
2.7 3.03
8.14 1.51
38.8 -43.9
45.1 12.9
7.83 2.56
4.32 4.19
-18.4 32.7
5.4 4.09
5.6 8.39
6.02 3.28
2.3 5.11
3.51 7.87
42.9 -75.2
3.06 2.45
0.551 3.57
4.17 1.21
0.628 1.99
8.75 3.85
3.59 3.3
3.26 4.3
6.74 1.38
-0.53 2.46
1.57 2.56
4.82 3.19
-5.1 10.8
1.72 1.18
14 7.19
1.89 4.99
4.44 4.17
3.99 3.29
2.68 4.35
10.7 0.999
